127.0.0.1 - - [26/Dec/2017:17:13:41 +0800] "GET / HTTP/1.1" 404 988
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:16:18 +0800] "GET /epgBuilder/index.jsp HTTP/1.1" 200 9437
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:16:19 +0800] "GET /epgBuilder/css/orderBuilder.css HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:16:19 +0800] "GET /epgBuilder/themes/default/easyui.css HTTP/1.1" 200 66948
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:16:19 +0800] "GET /epgBuilder/themes/icon.css HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:16:19 +0800] "GET /epgBuilder/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:16:19 +0800] "GET /epgBuilder/js/jquery.easyui.min.js HTTP/1.1" 200 425249
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:16:23 +0800] "GET /epgBuilder/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:16:23 +0800] "GET /epgBuilder/themes/icons/search.png HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:16:23 +0800] "GET /epgBuilder/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:16:23 +0800] "GET /epgBuilder/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:16:23 +0800] "GET /epgBuilder/themes/default/images/spinner_arrows.png HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:16:23 +0800] "GET /epgBuilder/themes/icons/ok.png HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:16:23 +0800] "GET /epgBuilder/themes/default/images/panel_tools.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:16:23 +0800] "GET /favicon.ico HTTP/1.1" 404 1010
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:16:30 +0800] "GET /epgBuilder/index.jsp HTTP/1.1" 200 9437
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:24 +0800] "GET /epgBuilder/index.jsp HTTP/1.1" 200 9428
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:24 +0800] "GET /epgBuilder/css/orderBuilder.css HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:24 +0800] "GET /epgBuilder/themes/icon.css HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:24 +0800] "GET /epgBuilder/themes/default/easyui.css HTTP/1.1" 200 66948
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:24 +0800] "GET /epgBuilder/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:24 +0800] "GET /epgBuilder/js/jquery.easyui.min.js HTTP/1.1" 200 425249
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:24 +0800] "GET /epgBuilder/themes/icons/search.png HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:24 +0800] "GET /epgBuilder/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:24 +0800] "GET /epgBuilder/themes/icons/ok.png HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:24 +0800] "GET /epgBuilder/themes/default/images/spinner_arrows.png HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:24 +0800] "GET /epgBuilder/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:24 +0800] "GET /epgBuilder/themes/default/images/panel_tools.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:24 +0800] "GET /epgBuilder/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:36 +0800] "GET /epgBuilder/index.jsp HTTP/1.1" 200 9428
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:36 +0800] "GET /epgBuilder/themes/icon.css HTTP/1.1" 200 2506
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:36 +0800] "GET /epgBuilder/css/orderBuilder.css HTTP/1.1" 200 289
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:36 +0800] "GET /epgBuilder/js/jquery.min.js HTTP/1.1" 200 95957
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:36 +0800] "GET /epgBuilder/themes/default/easyui.css HTTP/1.1" 200 66948
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:36 +0800] "GET /epgBuilder/js/jquery.easyui.min.js HTTP/1.1" 200 425249
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:36 +0800] "GET /epgBuilder/themes/icons/edit_add.png HTTP/1.1" 200 1088
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:36 +0800] "GET /epgBuilder/themes/icons/ok.png HTTP/1.1" 200 883
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:36 +0800] "GET /epgBuilder/themes/icons/search.png HTTP/1.1" 200 813
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:36 +0800] "GET /epgBuilder/themes/default/images/spinner_arrows.png HTTP/1.1" 200 149
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:36 +0800] "GET /epgBuilder/themes/default/images/blank.gif HTTP/1.1" 200 43
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:36 +0800] "GET /epgBuilder/themes/default/images/panel_tools.png HTTP/1.1" 200 852
0:0:0:0:0:0:0:1 - - [26/Dec/2017:17:27:36 +0800] "GET /epgBuilder/themes/default/images/accordion_arrows.png HTTP/1.1" 200 184
